id,version,timestamp,lat,lon,name,is_in,place,tourism,created_by,bus,highway,operator,public_transport,admin_level,capital,capital_ISO3166-1,is_capital,is_in:country_code,is_in:province,name:ace,name:af,name:am,name:an,name:ang,name:ar,name:ast,name:az,name:bcl,name:be,name:be-tarask,name:bg,name:bo,name:br,name:bs,name:ca,name:ceb,name:cs,name:cv,name:cy,name:da,name:de,name:diq,name:el,name:en,name:eo,name:es,name:et,name:eu,name:ext,name:fa,name:fi,name:fr,name:fy,name:gd,name:gl,name:he,name:hif,name:hr,name:ht,name:hu,name:hy,name:id,name:io,name:is,name:it,name:ja,name:ka,name:kn,name:ko,name:ku,name:kw,name:la,name:lij,name:lmo,name:lt,name:lv,name:mk,name:mr,name:ms,name:mt,name:nah,name:nan,name:nl,name:nov,name:oc,name:os,name:pap,name:pl,name:pms,name:pnb,name:pt,name:qu,name:rmy,name:ro,name:roa-rup,name:ru,name:rw,name:sah,name:sc,name:scn,name:sco,name:sh,name:sk,name:sl,name:sq,name:sr,name:srn,name:sv,name:sw,name:ta,name:tg,name:th,name:tl,name:tr,name:uk,name:ur,name:vec,name:vi,name:vo,name:war,name:yo,name:yue,name:zh,name:zh-Hans,name:zh-Hant,population,rank,ref:LOCODE,source:population,wikidata,wikipedia,amenity,description,exit_to,is_in:country,is_in:continent,population:date,population:source,postal_code,alt_name,int_name,note:capital,name:bpy,ia_capital,name:sr-Latn,source:name:oc,addr:housenumber,historic,ele,natural,cargo,ferry,man_made,name:ce,name:ml,name:nn,access,barrier,motor_vehicle
105555073,3,2017-05-26T01:47:10Z,14.4275408,-89.3852314,Señal de Triangulación Cerro El Brujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,
105566013,4,2017-05-26T01:47:10Z,14.3849636,-89.5363571,Confluencia del Río El Angue con Quebrada de Guayabillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105572455,7,2019-06-24T09:30:26Z,13.7630361,-86.3986118,Mogotón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2092378,,,,,,,,,,,,,,,,,,,2107,peak,,,,,,,,,
105652382,6,2018-03-12T21:27:54Z,17.8153438,-90.9877156,"Monumento Limítrofe Internacional 81 ""Vértice Campeche""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boundary_stone,,,,,,,,,,,
108476411,8,2019-11-14T17:00:04Z,10.282178,-61.4708753,Water Taxi South Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ferry_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,
108478060,9,2018-09-30T17:21:50Z,11.9994768,-61.7192248,Pt Egmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cape,,,,,,,,,
108493272,4,2016-10-07T18:35:53Z,12.5300067,-61.4378523,Gun Point,,,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108502504,4,2019-03-29T16:25:24Z,10.7942259,-61.2509345,045 (21-FEB-16 20:50:18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108524151,9,2016-09-02T10:09:46Z,12.0844705,-61.7635344,Moliniere Pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cape,,,,,,,,,
110068320,4,2020-10-14T09:46:23Z,10.8256745,-64.167823,Muelle Cubagua,,,,,,,Conferry,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ferry_terminal,,,,,,,,,,,,,,,,,,,passengers;vehicle,yes,,,,,,,
